function	AS102	AS103	AS105	AS106	AS107	AS111	AS112	AS113	AS114	AS115	AS117	AS120	AS122	AS123	AS124	AS125	AS127	AS128	AS129	AS130	AS131	AS132	AS133	AS134	AS136	AS137	AS139	AS140	AS141	AS142	AS149	AS150	AS152	AS153	AS154	AS155	AS156	AS157	AS160	AS162	AS163	AS164	AS167	AS169	AS172	AS173	AS174	AS175	AS177	AS178	AS179	AS180	AS181	AS182	AS183	AS185	AS186	AS187	AS188	AS189	AS190	AS191	AS193	AS195	AS196	AS204	AS205	AS206	AS207	AS208	AS212	AS214	AS216	AS221	AS223	AS226	AS227	AS228	AS229	AS230	AS232	AS233	AS235	AS236	AS237	AS239	AS240	AS242	AS244	AS245	AS246	AS247	AS248	AS249	AS66	AS67	AS68	AS69	AS71	AS72	AS73	AS74	AS75	AS76	AS77	AS78	AS79	AS80	AS81	AS82	AS83	AS84	AS85	AS86	AS87	AS88	AS90	AS91	AS92	AS93
2.6.1.30-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.6.1.37-RXN	0.0	4.8	111.0	7.8	0.0	25.67	762.4	606.0	3.6	1.75	0.0	20.0	42.2	9.0	0.8	3.4000000000000004	0.0	182.0	0.0	22.0	24.0	14.38	0.0	35.0	55.0	82.0	14.33	100.67	17.2	19.43	26.0	63.0	5.0	25.0	64.12	49.0	12.27	7.2799999999999985	0.0	51.75	82.67	14.65	0.0	0.0	11.0	5.83	4.0	17.62	0.0	39.48	0.0	2.12	8.0	58.4	52.0	24.0	2.86	56.0	3.43	64.0	11.71	0.0	4.0	1.0	59.54	7.0	4.6	6.4	4.2	0.0	0.0	0.0	5.2	0.0	0.0	0.6	0.0	0.8	2.0	0.0	0.0	11.8	1.8	0.0	0.0	0.0	0.0	5.0	0.0	8.8	1.29	1.8	0.0	4.0	15.25	479.8	117.0	76.0	0.0	0.0	0.0	0.0	11.42	0.0	0.0	0.0	4.48	53.0	55.25	0.0	0.0	0.0	12.67	7.17	0.0	23.5	2.12	36.4	0.0	0.0
2.6.1.57-RXN	255.5	130.1	241.8	68.05	161.0	819.6700000000002	4038.47	3099.8	167.26999999999995	294.57	138.35	680.0699999999998	762.8	2734.26	1005.8	548.4000000000002	2516.67	4592.0	505.0	4134.5	839.01	1564.71	735.0	1647.33	2553.33	2205.0	1107.66	3994.14	878.65	839.6800000000002	174.5	1292.75	409.0	382.25	410.87	651.0	53.2	135.93	1681.75	1867.75	320.75	146.05	382.0	495.0	410.99	729.83	1152.67	305.36	502.42	278.41	29.33	195.12	297.0	1115.46	615.0	945.75	1033.11	898.0	1001.18	656.5	659.71	1898.5	1352.16	418.75	2083.44	576.1	151.1	429.8	555.6	1356.55	521.4	513.72	380.6	244.4	192.33	628.4	400.23	986.32	653.6	615.33	235.2	391.72	361.33	420.5	93.75	234.0	275.0	622.0	328.65	207.5	77.84	319.6	226.0	163.75	440.25	1036.13	524.35	385.0	90.5	774.0	199.0	54.75	571.09	672.0	178.75	285.0	1170.08	667.75	603.25	104.58	125.25	132.66	200.16	513.34	430.0	298.25	521.87	546.05	32.0	320.75
2.6.1.64-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	92.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	11.0	0.0	55.0	175.0	41.0	76.0	48.0	49.0	89.0	0.0	254.0	0.0	0.0	156.0	291.0	504.0	129.0	217.0	49.0	40.0	22.0	11.0	69.0	32.0	84.0	30.0	54.0	36.0	156.0	108.0	134.0	114.0	59.0	0.0	78.0
2.6.1.7-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	92.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	11.0	0.0	55.0	175.0	41.0	76.0	48.0	49.0	89.0	0.0	254.0	0.0	0.0	156.0	291.0	504.0	129.0	217.0	49.0	40.0	22.0	11.0	69.0	32.0	84.0	30.0	54.0	36.0	156.0	108.0	134.0	114.0	59.0	0.0	78.0
2.6.1.82-RXN	4.67	0.0	0.0	0.0	6.0	7.0	0.0	4.0	3.67	0.0	198.0	13.0	12.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	2.38	0.0	45.33	55.0	82.0	14.33	100.67	0.0	3.43	0.0	0.0	0.0	0.0	4.12	0.0	0.0	4.88	0.0	2.75	0.0	1.25	0.0	0.0	0.0	10.5	4.0	6.62	0.0	4.88	0.0	7.12	0.0	0.0	0.0	0.0	2.86	0.0	3.43	0.0	3.71	0.0	4.0	1.0	6.1400000000000015	6.0	10.0	18.0	8.0	5.67	6.33	9.67	9.67	5.0	30.33	0.0	0.0	3.0	0.0	0.0	2.0	0.0	5.0	0.0	2.0	0.0	0.0	5.0	1.67	9.67	1.29	2.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.67	0.0	4.33	0.0	2.88	0.0	5.25	0.0	8.67	0.0	0.0	7.17	0.0	5.5	2.12	0.0	0.0	0.0
2.7.1.148-RXN	504.31	400.03	827.4	317.38	508.17	881.6600000000002	4999.27	3911.07	576.77	731.87	1361.35	1305.65	946.5	4169.46	1149.9699999999998	846.0	4528.11	5619.67	998.44	5179.17	2087.34	5172.0	6132.33	3518.94	3193.92	3504.5	1877.33	5592.37	1660.25	1516.58	1337.67	2570.75	1659.16	1470.08	2188.04	2049.67	701.19	744.53	2349.58	3255.2	1440.02	1031.15	1245.4	726.5	1785.2599999999998	1022.5	1904.17	1098.16	2500.7	1388.69	1262.5	1623.51	1277.4499999999996	4286.67	2207.0600000000004	2023.75	1579.61	1673.5	1689.68	1177.67	1279.21	2884.23	1517.83	680.75	2859.04	721.8	396.1	775.27	1164.79	1862.27	1012.78	1693.43	685.0699999999998	545.23	476.66	2212.2	1963.0	2327.4	1575.52	2287.91	1247.32	1040.91	797.26	1148.33	648.48	587.6099999999999	717.5	1085.45	1048.79	537.77	718.24	1118.92	559.89	610.99	1158.75	2107.49	1200.25	2837.25	1299.08	1810.0	2682.0	741.08	2358.58	2431.17	936.41	5712.5	2654.48	2944.25	2002.25	1113.97	1007.75	1034.66	1221.16	2735.34	3482.0	2283.59	2655.03	2888.48	458.67	1960.75
2.7.1.156-RXN	268.84000000000003	205.8	608.4	221.38	316.67	839.6600000000002	4660.27	3687.07	276.77	193.2	1080.88	997.2	940.5	4021.13	1102.3	756.0	3973.67	5190.67	791.17	4578.17	912.34	2720.55	1410.33	3095.49	2970.83	3205.5	1866.33	5247.07	1114.92	852.75	984.17	2346.75	1429.0	1205.75	1817.37	1553.0	479.11	590.53	2115.92	2620.75	949.78	548.15	997.78	632.5	1476.66	964.17	1811.5	1084.16	1933.75	837.2500000000001	335.5	488.12	695.06	2265.67	1849.17	1246.08	1255.11	1105.0	1171.68	682.0	740.71	2415.9	1500.83	611.25	2350.54	653.3	241.1	657.6	908.01	1637.82	508.33	706.72	589.0699999999998	474.8	414.33	1087.2	568.64	1473.85	875.8	1062.94	336.1	628.05	440.9	636.0	298.65	389.83	482.5	828.67	629.12	300.27	224.74	482.17	432.5	296.55	337.75	1581.46	902.75	1827.5	1141.33	1107.0	1321.33	551.08	2706.08	1594.67	542.41	5006.0	1484.98	1931.58	1285.75	592.97	486.75	370.33	673.66	1970.84	2116.5	1353.59	1687.03	1996.98	131.67000000000002	1259.25
2.7.1.63-RXN	178.0	161.5	416.0	331.3300000000001	199.17	13.33	0.0	11.67	193.0	63.0	564.33	201.0	50.0	237.0	65.67	374.0	315.33	399.67	227.67	581.67	235.0	270.67	438.0	111.67	160.0	490.0	100.0	356.0	190.0	141.0	618.0	556.0	600.3299999999998	588.3299999999998	1078.67	719.0	411.34	358.0	136.32999999999998	511.5	179.67000000000004	71.5	134.0	10.0	175.0	125.67	420.0	76.67	559.0	148.0	72.0	55.0	441.0	620.0	396.0	672.0	226.0	920.0	617.5	446.0	557.0	640.0	143.0	588.5	851.0	83.0	115.0	144.0	327.0	252.0	1004.0	1833.0	288.0	313.0	211.0	2786.0	878.0	1054.0	1399.0	3284.0	2556.0	896.0	834.0	1287.0	672.0	441.67	502.0	407.0	1144.0	306.0	743.0	556.0	430.0	661.0	566.0	415.0	27.0	2296.5	975.5	870.0	1998.0	298.0	632.0	382.5	158.5	936.5	82.5	438.0	182.0	423.0	472.0	293.5	150.67	650.5	593.0	542.0	610.5	445.0	81.0	321.0
2.7.1.69-RXN	3199.49	3215.6	1416.8	1103.25	2066.5	7539.33	35577.43	29207.8	2895.31	1533.4	2787.8	11917.42	9280.6	25993.57	9835.0	5692.0	19213.13	39243.0	5229.2	34364.0	9341.37	20366.77	16264.0	19057.79	22815.870000000006	19306.0	10241.3	34590.5	2577.37	3278.4700000000007	2077.5	12442.75	4597.66	4044.25	4658.95	6019.34	913.44	1480.45	15066.16	17825.0	4916.13	1708.9	5298.870000000001	4393.5	3974.86	7061.65	10732.0	4227.940000000001	6916.02	4527.21	2127.03	3783.71	4349.63	14712.94	7947.51	5507.83	8073.1	1812.0	4509.8	1999.34	2569.1	13923.66	8995.66	417.5	12575.8	7573.1	6275.5	7088.43	9513.64	13275.0	3968.56	4080.6	6253.74	2278.92	5312.66	3435.8	4798.8	5809.120000000001	2913.58	2978.390000000001	1839.18	2526.96	2466.7200000000007	2265.9700000000007	1033.47	561.29	866.5	5834.02	2004.27	2224.04	1632.95	3039.64	1689.01	1154.21	3596.0	1742.26	2343.6	4204.5	1585.16	4349.0	6202.0	775.75	3405.95	5216.0	2294.91	40647.0	4068.4	5037.83	3187.5	1641.9399999999996	1795.84	1405.3300000000004	1942.33	4792.7	5509.25	3513.0	4795.95	3440.9	652.0	3087.75
2.7.1.90-RXN	21.0	60.0	59.0	5.0	25.0	24.0	761.0	621.0	0.0	25.0	0.0	26.0	66.0	9.0	0.0	32.0	22.0	218.0	12.0	80.0	32.0	143.0	21.0	50.0	446.0	1144.0	679.0	1309.0	47.0	122.0	76.0	108.0	85.0	25.0	165.0	123.0	31.0	9.0	2.67	49.0	106.0	0.0	105.0	0.0	11.0	0.0	74.0	11.0	0.0	61.0	13.0	0.0	20.0	82.0	49.0	637.0	172.0	490.0	560.0	275.0	318.0	264.0	105.0	465.0	514.0	5.0	8.0	57.0	36.0	25.0	24.0	59.0	6.0	8.0	11.0	41.0	56.0	16.0	33.0	89.0	89.0	51.0	24.0	0.0	234.0	9.0	34.0	134.67	319.0	116.0	277.0	485.0	77.0	284.0	0.0	0.0	236.0	25.0	147.0	124.0	1027.0	88.0	145.0	75.0	69.0	52.0	0.0	142.0	59.0	120.0	89.0	68.0	50.0	196.0	215.0	136.0	120.0	242.0	37.0	108.0
2.7.10.1-RXN	16.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	25.0	5.0	512.0	11.0	0.0	155.0	0.0	72.0	102.0	0.0	0.0	0.0	69.67	12.0	42.0	36.0	13.0	30.0	61.0	69.0	96.67	4.67	46.0	0.0	51.0	57.0	24.0	15.0	24.0	0.0	72.0	10.0	17.33	13.0	27.0	20.0	44.33	70.34	84.0	36.67	216.0	45.0	28.0	6.0	69.0	36.33	11.0	70.33	134.0	61.0	0.0	0.0	17.0	115.0	85.33	56.0	64.0	0.0	0.0	0.0	30.0	45.0	229.0	270.0	81.0	122.0	200.0	164.0	95.0	154.0	83.0	192.0	56.0	48.0	29.0	69.0	135.0	28.33	63.0	78.0	267.0	71.0	92.0	134.0	49.0	102.0	97.0	254.0	60.0	282.0	255.0	315.0	584.0	222.0	415.0	122.0	114.0	174.0	182.0	328.33	320.0	166.0	38.0	169.0	142.66	249.0	277.0	217.0	271.0	302.0	30.0	150.0
2.7.13.1-RXN	29.0	29.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	31.0	20.0	0.0	0.0	0.0	0.0	0.0	89.0	65.0	0.0	0.0	24.0	9.0	0.0	0.0	15.0	0.0	12.0	11.0	0.0	94.0	0.0	0.0	46.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	127.0	0.0	44.0	42.0	34.0	0.0	70.0	0.0	0.0	110.0	125.0	12.0	45.0	8.0	0.0	0.0	0.0	69.0	191.0	53.0	0.0	79.0	0.0	29.0	44.0	69.0	28.0	20.0	0.0	0.0	0.0	16.0	63.0	0.0	14.0	88.0	140.0	76.0	44.0	74.0	41.0	62.0	0.0	190.0	0.0	0.0	20.0	159.0	95.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	127.0	90.0	0.0	0.0	0.0	0.0	0.0	36.0	62.0
2.7.13.3-RXN	5536.82	5820.34	8449.0	2879.8	5738.7	5113.6	28355.7	23681.7	7061.539999999999	7412.7	12319.96	13476.94	8086.5	20765.6	7135.7	7329.0	26105.28	31961.7	6361.86	30800.7	11115.4	25497.26	28322.97	18740.17	18793.02	20236.0	10831.3	32054.7	13686.7	12209.0	10584.53	14677.0	12583.61	11168.8	15628.9	14300.69	5211.9299999999985	6030.3	13821.81	20498.1	11671.39	7095.5	9419.76	5430.0	15629.729999999998	6779.87	12808.2	5952.5999999999985	13947.94	8496.02	5874.66	8996.82	9170.22	22171.7	15036.98	14405.3	12429.6	11957.0	11842.8	8448.69	9634.1	19138.31	9720.3	4398.0	19036.9	6410.5	7425.0	8621.36	12178.34	11273.13	10100.4	14550.72	6798.7	5622.440000000001	8376.6	17713.5	13688.44	19010.24	13436.26	17362.82	8825.76	9086.72	7066.04	8894.14	5025.6399999999985	4495.52	5685.5	7337.94	8511.56	5101.2	6101.4	7838.2	6615.62	5050.02	8108.5	17594.17	9769.0	22898.5	11227.8	15818.0	22163.99	6361.47	23549.31	19701.53	8258.77	45520.0	21383.63	25353.8	17139.5	9294.2	8506.34	8159.64	9861.77	23385.730000000003	27692.5	18037.89	20756.81	24447.97	3777.53	17336.17
2.7.3.9-RXN	639.81	598.03	545.4	298.05	591.0	1671.33	8226.939999999999	6498.4	768.27	801.37	1491.02	2353.65	1856.0	6857.79	2206.8	1419.0	6130.45	9462.0	1471.77	8960.5	2888.01	6671.37	6596.0	5327.77	4873.75	4129.0	1929.66	7712.04	1529.95	1451.61	1462.5	3627.75	2170.83	1827.25	2245.99	2403.67	625.69	736.41	3838.08	4825.95	1645.53	881.5699999999998	1565.4	1124.5	1786.4299999999996	1701.33	2964.67	1300.11	2588.2	1598.9000000000005	1040.0	1688.13	1458.4499999999996	5023.67	2719.890000000001	1857.75	1961.97	1443.5	1658.61	1067.17	1168.42	3727.83	2355.83	552.75	3689.18	1467.3	971.1	1360.27	2032.79	3132.2700000000004	1216.78	1665.9299999999996	1238.0700000000004	692.73	985.66	2235.2	2146.5	2594.4	1628.52	2438.41	1248.82	1026.91	926.76	1205.33	604.0799999999998	446.44	575.0	1508.78	961.29	599.97	667.73	1121.7199999999998	759.39	563.19	1295.25	1902.49	1005.25	2815.25	879.08	1802.0	1885.0	249.75	1300.09	1905.5	776.58	5393.0	1730.36	1728.58	1249.5	857.4699999999998	629.9200000000002	787.0000000000001	896.6700000000002	1795.84	2322.0	1424.25	1846.49	1720.65	300.0	1256.25
2.7.7.1-RXN	18.0	19.0	31.4	3.0	33.0	4.67	2.2	32.4	136.67000000000002	332.37	33.8	41.87000000000001	24.8	9.13	8.0	8.6	41.0	86.0	20.5	36.0	7.67	50.88	60.0	18.33	80.0	82.0	14.33	146.07	144.0	163.43	27.0	0.0	12.0	0.0	4.12	19.0	2.0	4.88	50.0	71.75	62.0	29.25	4.0	19.5	43.16	21.83	51.67	17.490000000000002	50.67	13.88	2.33	38.12	34.0	72.33	25.0	61.0	2.86	90.0	7.43	79.0	71.21000000000002	20.5	32.33	1.0	81.14	31.05	13.0	63.2	30.2	6.4	12.2	35.07	9.2	6.2	39.33	177.6	155.53	263.07	137.8	41.33	33.6	65.67	54.93	19.0	18.0	23.0	13.5	5.0	31.7	8.5	11.19	17.0	4.0	23.5	15.25	536.3299999999998	86.5	0.0	6.33	118.0	16.33	18.0	155.42	30.0	114.5	111.0	254.88	115.0	187.25	117.0	3.0	60.33	51.83	62.17	95.5	207.5	77.12	21.0	32.0	33.0
2.7.7.13-RXN	451.07	585.8299999999998	1886.4	351.99	773.01	120.32	1530.2	1312.41	444.34	194.2	1332.81	649.2	274.8	276.8	154.67000000000004	494.2000000000001	1262.24	1360.01	433.78	1413.51	1228.01	2936.9700000000007	5233.99	845.77	1202.09	1924.0	1238.33	2292.57	2555.29	2034.35	1446.51	1307.0	1790.16	1580.33	2006.17	1629.67	789.3100000000002	692.8	1253.7499999999998	1639.95	1157.44	1095.3	640.73	313.5	1015.75	333.18	637.5	315.22	1852.75	645.2	1554.5	1418.5	1043.5	2689.79	1216.01	1842.91	1040.47	1966.5	1608.11	1321.17	1376.92	1801.73	696.49	787.75	1930.08	160.55	243.0	400.2	478.7	432.16	1210.91	1823.39	389.54	685.05	487.66	1993.8	1807.95	1563.15	1341.3	2525.25	1317.6	881.0	657.85	1053.0	1014.65	652.3299999999998	780.5	1023.34	1625.29	651.04	1159.78	1294.39	1088.0	947.8	995.0	3311.02	1530.45	2979.75	1907.41	2990.0	3841.33	1682.99	5804.4	4384.51	1438.65	10056.5	4084.2	5687.41	3525.0	1571.08	1471.58	1696.32	1839.98	5156.18	6354.75	3866.27	4541.48	5442.04	687.51	3778.5
2.7.7.15-RXN	9.5	13.5	0.0	0.0	9.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	19.5	0.0	0.0	26.5	54.5	31.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.7.7.33-RXN	50.34	105.0	417.0	96.33	158.67000000000004	12.66	0.0	12.67	88.67	5.0	518.33	133.0	29.0	180.0	28.0	6.0	197.0	442.67	37.17	176.67	76.67	117.84	379.33	97.66	156.0	103.0	54.0	131.5	581.0	373.43	144.67	75.0	200.83	191.0	243.0	153.67000000000004	117.76	92.0	215.0	379.5	230.5	164.5	189.0	25.5	168.16	82.67	125.0	105.34	634.0	131.0	157.5	105.0	202.5	141.32999999999996	75.67	239.0	170.86	172.5	57.93	179.67000000000004	204.71	252.33	201.33	42.5	203.14	14.0	32.0	68.0	13.0	89.34	42.58	196.17	142.67000000000004	187.75	230.33	88.0	16.25	63.5	35.5	5.25	11.0	28.75	39.25	10.0	87.0	8.0	15.0	109.67	96.17	89.17	48.29	87.42	41.0	94.0	0.0	505.0	209.5	24.75	219.58	605.0	1209.0	368.0	930.33	959.0	291.16	309.0	330.0	1226.5	710.5	231.5	437.0	263.16	246.83	1149.5	1539.0	758.67	881.33	1290.0	135.67000000000002	1017.33
2.7.7.39-RXN	43.5	74.5	169.0	104.0	35.5	795.0	3591.0	2807.0	6.0	33.0	50.0	540.0	692.0	2522.0	956.0	522.0	1426.0	4159.0	538.0	3615.0	768.0	1487.0	654.0	1445.0	1957.0	1581.0	668.0	3134.0	13.5	87.0	146.0	1196.0	367.0	407.0	504.5	537.0	95.0	127.0	1536.0	1663.0	264.0	58.0	333.0	374.0	79.0	675.5	1137.5	273.0	509.5	268.0	0.0	164.0	289.5	1076.5	619.5	265.5	554.0	307.0	360.0	128.0	217.0	1325.0	864.0	36.0	1264.0	522.0	82.0	308.0	381.0	1136.0	300.0	548.0	441.0	102.0	181.0	1003.0	399.0	608.0	523.0	1162.0	815.0	301.0	330.0	494.0	65.0	97.0	118.0	494.0	119.0	55.0	43.0	129.0	58.0	21.0	126.0	7.0	255.0	799.0	326.0	42.0	94.0	11.0	41.0	362.0	79.0	136.0	170.0	95.0	36.0	49.0	22.0	50.0	85.0	190.0	166.0	222.0	216.0	62.0	18.0	114.0
2.7.7.60-RXN	575.64	407.83	827.4	341.38	501.17	905.66	5766.27	4526.07	597.77	731.87	1349.35	1324.65	994.5	4180.46	1163.64	858.8000000000002	4563.440000000001	5834.67	998.44	5259.17	2121.34	5180.0	6069.33	3711.94	3567.92	3836.5	2261.33	6001.37	1653.45	1543.58	1370.67	2679.75	1682.4899999999998	1553.41	2184.71	2096.67	668.79	746.93	2328.91	3218.2	1475.02	948.55	1287.4	726.5	1788.2599999999998	1029.17	1935.17	1146.16	2483.7	1429.29	1198.5	1601.51	1346.4499999999996	4364.07	2258.0600000000004	1850.75	1263.61	1627.5	1689.68	1140.67	1206.21	2684.23	1487.83	697.75	2747.44	738.8	396.1	766.27	1168.79	1924.27	1040.78	1750.43	721.0699999999998	581.23	476.66	2267.8	1970.0	2372.2	1586.52	2349.91	1265.32	1046.91	797.26	1162.33	654.48	567.28	711.5	1192.45	976.79	507.97	667.24	1109.72	567.89	649.99	1087.75	2076.49	1225.85	2882.25	1230.08	1737.0	2416.0	621.08	2238.58	2474.17	995.41	9537.5	2647.08	3121.25	2051.25	1024.97	908.75	949.66	1139.16	2686.34	3420.0	2281.59	2518.03	2838.88	423.67	1997.75
2.7.7.61-RXN	29.0	11.0	14.0	21.0	9.0	772.67	3591.0	2804.0	6.0	18.0	23.0	530.0	666.0	2478.0	956.0	397.0	1426.0	4084.0	404.0	3412.0	662.0	1368.38	633.0	1418.0	1961.0	1580.0	675.33	3113.67	0.0	19.86	36.0	1127.0	316.0	297.0	300.12	422.0	36.0	38.88	1536.0	1639.75	220.0	59.25	254.0	344.0	55.0	665.83	988.0	228.62	414.0	217.88	0.0	101.12	111.0	934.0	512.0	177.0	394.72	83.0	326.86	80.0	87.42	1156.0	846.0	7.0	1114.28	503.0	47.0	296.0	360.0	1103.0	6.0	0.0	326.0	34.0	65.0	39.0	58.0	281.0	57.0	41.0	20.0	27.0	65.0	75.0	0.0	0.0	0.0	464.0	10.0	25.0	2.58	20.0	27.0	8.0	29.0	0.0	89.0	122.0	0.0	18.0	14.0	11.0	46.67	314.0	46.0	3880.0	63.88	182.0	64.25	10.0	0.0	12.0	21.0	170.17000000000004	166.0	135.5	218.12	62.0	0.0	114.0
2.7.7.8-RXN	666.31	665.03	1038.4	371.38	642.1700000000002	930.66	5020.27	4107.07	804.77	778.87	1520.35	1889.65	1222.5	4217.46	1235.9699999999998	1009.0	4579.11	5708.67	998.44	5282.17	2132.34	5210.0	6175.33	3699.94	3193.92	3520.5	1897.33	5619.37	1817.42	1679.25	1382.67	2602.75	1678.16	1505.08	2220.54	2112.67	711.86	771.53	2442.58	3302.2	1562.2200000000007	1044.15	1371.4	812.5	1830.26	1098.67	1927.67	1144.16	2535.7	1425.69	1280.5	1664.01	1313.4499999999996	4414.17	2282.0600000000004	2063.58	1774.61	1687.5	1747.68	1221.67	1343.21	3067.23	1593.83	706.75	2948.04	962.8	889.1	1113.27	1608.79	1971.27	1213.58	1879.83	938.07	705.8299999999998	997.66	2289.2	2136.0	2408.8	1647.52	2296.91	1294.32	1140.91	880.26	1170.33	789.48	599.94	724.5	1173.45	1278.79	699.77	967.24	1297.92	829.89	755.99	1158.75	2496.49	1399.25	2857.25	1455.08	2197.0	3186.0	913.08	3793.58	2835.17	1140.41	5838.5	3003.48	3315.58	2173.25	1256.97	1101.75	1173.3300000000004	1424.16	3096.34	3793.0	2766.59	3006.03	3166.48	504.67	2253.75
2.7.8.11-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	12.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0	0.0	52.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	20.0	0.0	0.0	0.0	45.0	7.0	21.0	26.0	62.0	18.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	47.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.7.8.12-RXN	6.66	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	11.34	120.0	90.66	0.0	58.0	58.0	106.0	0.0	0.0	46.0	0.0	0.0	14.0	104.0	0.0	0.0	200.0	45.0	138.66	336.66	425.34	190.0	134.0	168.0	28.66	0.0	40.0	52.0	0.0	0.0	0.0	13.34	0.0	0.0	0.0	40.0	0.0	58.0	0.0	0.0	0.0	42.0	108.0	122.0	0.0	0.0	34.0	42.0	0.0	30.0	38.0	17.0	0.0	0.0	0.0	78.0	87.0	261.0	0.0	0.0	0.0	291.0	95.0	151.0	119.0	282.0	76.0	120.0	58.0	139.0	102.0	41.34	98.0	138.0	74.0	60.0	39.0	149.0	14.0	26.0	194.0	0.0	0.0	1141.0	565.0	48.0	160.0	0.0	0.0	34.0	15.0	108.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0
