		RelAbund	RelAbund	RelAbund
		max	mean	min
Bosea	skin	0.07042253521126761	0.0007395906965225669	0.0
Bosea	swab	0.05169172932330827	0.0005155578176963592	0.0
Brevundimonas	skin	0.1586021505376344	0.004917392436005839	0.0
Brevundimonas	swab	0.28194399742516896	0.012943251578514574	0.0
Brevundimonas	water	0.004290171606864275	0.001031448245866077	0.0
Bryobacter	swab	0.014978902953586498	0.0001897756983014315	0.0
CL500-3	swab	0.03768844221105527	0.000715175871410761	0.0
CL500-3	water	0.0588398556758257	0.00588398556758257	0.0
Candidatus_Accumulibacter	swab	0.02097315436241611	0.000499038490558014	0.0
Candidatus_Alysiosphaera	skin	0.11546840958605664	0.001016077378280551	0.0
Candidatus_Alysiosphaera	swab	0.05776566757493188	0.0004957426205051533	0.0
Candidatus_Anammoximicrobium	swab	0.03450920245398773	0.0011523123732822967	0.0
Candidatus_Aquiluna	water	0.00954653937947494	0.0024077104406265005	0.0
Candidatus_Planktoluna	swab	0.018158783783783782	0.0001488424900310146	0.0
Candidatus_Planktoluna	water	0.08223041874593187	0.020195234417370873	0.0
Cellulomonas	swab	0.021234240212342402	0.002552849144811032	0.0
Cellvibrio	swab	0.031635802469135804	0.0014434406433327298	0.0
Cellvibrio	water	0.0015187676285528314	0.00021236063382302508	0.0
Cetobacterium	skin	0.8829080740999651	0.15713600321996488	0.0
Cetobacterium	swab	0.7544031311154599	0.13387233990013572	0.0
Cetobacterium	water	0.2355782892867292	0.04697654640455611	0.0
Chiayiivirga	swab	0.02463249900675407	0.0004902111557025467	0.0
Chitinibacter	swab	0.021549031855090568	0.00017663140864828335	0.0
Chitinibacter	water	0.0035101404056162248	0.0003510140405616225	0.0
Christensenellaceae_R-7_group	swab	0.04904118201823326	0.0010732836616029414	0.0
Chromohalobacter	swab	0.011829944547134935	0.0001837446371534045	0.0
Chroococcidiopsis_PCC-6712	swab	0.01921182266009852	0.0002850531027619689	0.0
Chryseobacterium	skin	0.10458167330677291	0.0009565958153863413	0.0
Chryseobacterium	swab	0.08699254349627175	0.0009776226088623152	0.0
Chryseobacterium	water	0.0031201248049922	0.00031201248049921997	0.0
Chryseomicrobium	skin	0.1423487544483986	0.009105013125096607	0.0
Chryseomicrobium	swab	0.08534850640113797	0.004702669133995196	0.0
Chthoniobacter	swab	0.021590130226182315	0.00029691895021836836	0.0
Chthoniobacter	water	0.0006032575909913533	6.032575909913533e-05	0.0
Ciceribacter	skin	0.865546218487395	0.01448431153397019	0.0
Ciceribacter	swab	0.08699324324324324	0.0012285441454769229	0.0
Citricoccus	skin	0.12334801762114538	0.007875931820551319	0.0
Citricoccus	swab	0.0597169485674836	0.003507742905671371	0.0
Citrobacter	swab	0.03581081081081081	0.0021651876171482473	0.0
Citrobacter	water	0.002730109204368175	0.0002730109204368175	0.0
Cloacibacterium	skin	0.5702127659574469	0.007342652442876098	0.0
Cloacibacterium	swab	0.058260869565217394	0.0010244212297817155	0.0
Clostridium_sensu_stricto_1	skin	0.818707191780822	0.015541058391882575	0.0
Clostridium_sensu_stricto_1	swab	0.6089794618691291	0.010041637343546113	0.0
Clostridium_sensu_stricto_5	swab	0.006956521739130435	0.00025988939541179116	0.0
Clostridium_sensu_stricto_5	water	0.0032258064516129032	0.0006278817831018955	0.0
Comamonas	swab	0.04307432432432432	0.0006308805099827419	0.0
Comamonas	water	0.3614223088163663	0.10244356284778844	0.0
Crenothrix	skin	0.15	0.0017823633535924038	0.0
Crenothrix	swab	0.04831288343558282	0.0005916230012804152	0.0
Cupriavidus	swab	0.019274896741624598	0.00029806889879573507	0.0
Curvibacter	swab	0.008023648648648648	6.576761187416925e-05	0.0
