	TotalPairs	BothSurviving	Proportion
AS223	12803	3222	0.25165976724205263
AS69	22349	17037	0.7623159872924963
AS88	14478	10451	0.7218538472164664
AS64	67	50	0.746268656716418
AS143	10726	2484	0.23158679843371247
AS137	29058	6753	0.23239727441668387
AS221	11926	2516	0.21096763374140534
AS158	1692	1076	0.6359338061465721
AS243	2002	442	0.22077922077922077
AS113	22201	5395	0.24300707175352462
AS173	4414	2802	0.6347983688264612
AS181	5220	3830	0.7337164750957854
NTC-2	882	670	0.7596371882086168
AS100	11698	2773	0.2370490682167892
AS135BC21	31061	29721	0.9568590837384502
AS104	7166	1630	0.2274630198157968
AS136	24580	5796	0.23580146460537021
AS226	30414	7113	0.23387255869007695
AS91	19267	14468	0.7509212643379872
AS165	2157	1364	0.6323597589244321
AS196	15342	11709	0.7631990614000782
AS118BC19	69476	66124	0.9517531233807358
AS172	9106	6837	0.7508236327696025
AS112	27239	6626	0.24325415764161679
AS86	14005	10331	0.7376651196001428
AS130	48101	39632	0.8239329743664373
AS191	22733	17130	0.7535301104121761
AS150	17550	13052	0.7437037037037038
AS246	28845	6513	0.22579303172126886
AS80	11586	8507	0.7342482306231659
AS81	6361	4934	0.7756642037415501
AS171	3320	2608	0.7855421686746988
AS151	2500	1730	0.692
AS160	8635	6519	0.7549507817023741
AS79	10611	8140	0.7671284516068231
AS202	11161	2434	0.21808081713108143
AS125	11927	2580	0.2163159218579693
AS72	43647	31678	0.725777258459917
AS107	21633	4726	0.21846253409143437
AS218	8416	1773	0.21067015209125475
AS94BC14	34841	33330	0.9566315547774175
AS245	29350	7760	0.2643952299829642
AS174	5984	4223	0.7057152406417112
AS75	22826	16354	0.7164636817664067
AS147BC23	28379	27126	0.9558476338137355
AS103	14559	3288	0.22583968679167526
AS121	7755	1084	0.13978078658929724
AS230	30625	7261	0.2370938775510204
AS67	61691	46854	0.7594949020116386
AS156	5756	4233	0.735406532314107
AS95BC15	25860	24658	0.9535189481825213
AS239	12297	2913	0.23688704562088314
AS141	12886	9546	0.7408039733043613
AS126BC20	46692	44540	0.9539107341728775
AS131	5130	4040	0.7875243664717348
AS241	12519	2826	0.22573687994248742
AS138	3540	601	0.16977401129943503
AS209	10020	2228	0.22235528942115768
AS247	28579	6860	0.24003639035655552
AS89	2347	1475	0.6284618662121858
AS233	16213	3549	0.21889841485227904
AS175	4997	3493	0.6990194116469882
AS96BC16	24337	22096	0.9079179849611703
AS194	1889	926	0.490206458443621
AS93	27366	19797	0.7234159175619381
AS225	9568	2257	0.23589046822742474
AS73	38048	28832	0.7577796467619848
AS205	14230	3114	0.21883345045678146
AS63	439	322	0.7334851936218679
AS163	11140	7877	0.7070915619389587
AS122	9539	2231	0.2338819582765489
AS59	6119	4787	0.7823173721196274
AS206	17127	3931	0.2295206399252642
AS132	12114	9541	0.7876011226679874
AS159	2546	1694	0.6653574234092694
AS133	21782	15744	0.7227986410797906
AS220	4807	1027	0.21364676513417932
AS219	5865	1369	0.23341858482523445
AS148BC24	86840	83599	0.9626784891754951
AS217	3660	799	0.21830601092896174
NTC-1	3062	2054	0.6708033964728936
AS78	15825	11878	0.7505845181674565
